order_id,order_date,customer_id,customer_segment,region,product_category,product_name,unit_price,quantity,discount_percent,payment_method,delivery_days,delivery_status,customer_rating,total_sales,rating_missing
ORD-00055,2024-04-07,CUST-1087,Premium,East,Beauty,Lipstick,903.7,2,10,Credit Card,10.0,Delayed,,1626.66,True
ORD-00056,2024-09-07,CUST-1082,New,South,Books,Cookbook,778.11,5,20,Wallet,3.0,Delayed,5.0,3112.44,False
ORD-00057,2024-12-27,CUST-1032,Premium,Central,Fashion,Handbag,417.85,6,10,Net Banking,7.0,Delivered,5.0,2256.39,False
ORD-00058,2024-03-14,CUST-1020,Regular,Central,Grocery,Olive Oil 1L,209.68,4,0,COD,7.0,Delayed,3.0,838.72,False
ORD-00059,2024-02-05,CUST-1223,New,West,Books,Comic Book,804.29,1,15,UPI,4.0,Cancelled,4.0,683.65,False
ORD-00060,2024-07-02,CUST-1020,Premium,West,Home & Kitchen,Non-stick Pan,399.47,1,5,Wallet,6.0,Cancelled,5.0,379.5,False
ORD-00061,2024-08-24,CUST-1040,New,West,Fashion,Handbag,2764.64,1,0,Net Banking,5.0,Cancelled,5.0,2764.64,False
ORD-00062,2024-06-03,CUST-1179,Regular,North,Home & Kitchen,Storage Box,2493.52,4,25,COD,4.0,Delayed,5.0,7480.56,False
ORD-00063,2024-11-06,CUST-1064,Premium,South,Electronics,Smartwatch,5298.35,6,0,Credit Card,8.0,Cancelled,4.0,31790.1,False
ORD-00064,2024-10-23,CUST-1138,Regular,Central,Books,Fiction Novel,381.7,4,0,Wallet,6.0,Delayed,3.0,1526.8,False
ORD-00065,2024-05-31,CUST-1172,Regular,Central,Grocery,Green Tea Pack,382.67,4,25,Net Banking,6.0,Delivered,2.0,1148.01,False
ORD-00066,2024-08-20,CUST-1006,Premium,Central,Grocery,Olive Oil 1L,115.31,5,0,Net Banking,6.0,Cancelled,4.0,576.55,False
ORD-00067,2024-06-03,CUST-1227,Premium,South,Fashion,Cotton T-Shirt,2015.59,4,20,COD,7.0,Delayed,2.0,6449.89,False
ORD-00068,2024-03-20,CUST-1055,Regular,West,Home & Kitchen,Cushion Cover,1612.16,6,20,UPI,7.0,Delayed,2.0,7738.37,False
ORD-00069,2024-02-01,CUST-1164,Premium,Central,Electronics,Bluetooth Speaker,3631.22,6,5,Credit Card,7.0,Delivered,4.0,20697.95,False
ORD-00070,2024-10-16,CUST-1198,New,Central,Grocery,Almonds 500g,367.93,2,25,Credit Card,4.0,Delayed,2.0,551.9,False
ORD-00071,2024-03-30,CUST-1067,New,South,Grocery,Green Tea Pack,1186.28,5,5,COD,2.0,Cancelled,1.0,5634.83,False
ORD-00072,2024-10-30,CUST-1133,Regular,West,Electronics,Wireless Earbuds,3276.48,3,15,Credit Card,2.0,Delivered,5.0,8355.02,False
ORD-00073,2024-12-30,CUST-1149,Premium,East,Beauty,Sunscreen,853.35,1,10,COD,8.0,Cancelled,2.0,768.02,False
ORD-00074,2024-02-20,CUST-1116,Regular,West,Sports,Cricket Bat,1978.75,5,10,Credit Card,2.0,Delayed,,8904.38,True
ORD-00075,2024-12-17,CUST-1033,Premium,North,Beauty,Shampoo,1247.43,3,0,Wallet,8.0,Cancelled,2.0,3742.29,False
ORD-00076,2024-12-06,CUST-1168,Regular,South,Sports,Cricket Bat,2779.05,4,5,Credit Card,7.0,Delayed,1.0,10560.39,False
ORD-00077,2024-04-25,CUST-1237,Premium,East,Grocery,Protein Bar Pack,504.32,3,15,Credit Card,7.0,Delivered,,1286.02,True
ORD-00078,2024-04-02,CUST-1096,Regular,West,Home & Kitchen,LED Lamp,3245.0,3,0,Net Banking,3.0,Delivered,5.0,9735.0,False
ORD-00079,2024-02-13,CUST-1124,Premium,West,Home & Kitchen,LED Lamp,2595.19,5,15,COD,1.0,Delayed,3.0,11029.56,False
ORD-00080,2024-05-25,CUST-1052,Regular,South,Fashion,Jacket,607.31,4,0,UPI,10.0,Delayed,5.0,2429.24,False
ORD-00081,2024-08-08,CUST-1018,Regular,North,Home & Kitchen,LED Lamp,639.95,4,20,COD,3.0,Delivered,3.0,2047.84,False
ORD-00082,2024-10-20,CUST-1117,Premium,East,Beauty,Face Serum,1572.48,5,10,Credit Card,7.0,Delayed,5.0,7076.16,False
ORD-00083,2024-09-25,CUST-1162,New,Central,Grocery,Organic Rice 5kg,367.65,5,10,Wallet,2.0,Delivered,5.0,1654.42,False
ORD-00084,2024-03-16,CUST-1045,Premium,West,Grocery,Almonds 500g,486.21,6,25,COD,4.0,Cancelled,2.0,2187.94,False
ORD-00085,2024-11-21,CUST-1077,Regular,Central,Grocery,Protein Bar Pack,593.8,5,20,Credit Card,10.0,Delayed,5.0,2375.2,False
ORD-00086,2024-01-30,CUST-1118,Premium,Central,Sports,Yoga Mat,1448.51,4,0,Credit Card,6.0,Delayed,4.0,5794.04,False
ORD-00087,2024-08-31,CUST-1021,Premium,South,Grocery,Protein Bar Pack,817.02,3,15,Credit Card,9.0,Delivered,3.0,2083.4,False
ORD-00088,2024-11-08,CUST-1202,Premium,East,Books,Comic Book,893.24,5,15,Credit Card,3.0,Delayed,5.0,3796.27,False
ORD-00089,2024-12-02,CUST-1178,Premium,West,Electronics,Smartwatch,4327.57,3,5,UPI,10.0,Cancelled,3.0,12333.57,False
ORD-00090,2024-06-17,CUST-1243,New,East,Books,Fiction Novel,382.19,4,20,COD,3.0,Delivered,,1223.01,True
ORD-00091,2024-02-21,CUST-1033,Premium,West,Fashion,Denim Jeans,718.35,3,25,UPI,6.0,Delivered,,1616.29,True
ORD-00092,2024-08-12,CUST-1200,Regular,South,Fashion,Jacket,2484.42,2,20,Wallet,1.0,Delivered,5.0,3975.07,False
ORD-00093,2024-12-13,CUST-1209,New,Central,Home & Kitchen,Storage Box,3187.92,2,5,UPI,10.0,Delayed,5.0,6057.05,False
ORD-00094,2024-12-30,CUST-1111,New,South,Electronics,Power Bank,5345.41,5,0,COD,9.0,Delayed,2.0,26727.05,False
ORD-00095,2024-04-30,CUST-1202,New,South,Electronics,Power Bank,1076.94,1,5,Credit Card,7.0,Delayed,2.0,1023.09,False
ORD-00096,2024-12-27,CUST-1240,Premium,Central,Grocery,Olive Oil 1L,865.68,2,25,Wallet,5.0,Delayed,5.0,1298.52,False
ORD-00097,2024-05-02,CUST-1147,New,South,Electronics,Bluetooth Speaker,2035.73,1,0,Net Banking,7.0,Delayed,5.0,2035.73,False
ORD-00098,2024-04-05,CUST-1141,New,West,Electronics,Smartwatch,2634.64,5,10,COD,2.0,Delivered,,11855.88,True
ORD-00099,2024-01-09,CUST-1085,New,North,Books,Comic Book,885.78,3,20,Net Banking,6.0,Cancelled,2.0,2125.87,False
ORD-00100,2024-12-22,CUST-1011,New,North,Home & Kitchen,Blender,2948.75,6,10,Net Banking,8.0,Delayed,3.0,15923.25,False
ORD-00101,2024-05-09,CUST-1204,Regular,West,Sports,Football,3959.75,5,10,COD,1.0,Cancelled,4.0,17818.88,False
ORD-00102,2024-12-20,CUST-1154,New,Central,Beauty,Sunscreen,709.41,2,10,Net Banking,8.0,Delayed,5.0,1276.94,False
ORD-00103,2024-08-16,CUST-1157,Regular,East,Electronics,Wireless Earbuds,2505.18,3,5,Credit Card,10.0,Delivered,5.0,7139.76,False
ORD-00104,2024-03-22,CUST-1165,Regular,East,Books,Comic Book,422.48,6,20,COD,1.0,Cancelled,3.0,2027.9,False
ORD-00105,2024-07-09,CUST-1029,New,South,Electronics,Smartwatch,1597.88,4,5,COD,8.0,Cancelled,2.0,6071.94,False
ORD-00106,2024-08-16,CUST-1044,Premium,West,Beauty,Perfume,344.31,3,20,Credit Card,4.0,Cancelled,4.0,826.34,False
ORD-00107,2024-10-08,CUST-1203,Regular,Central,Grocery,Almonds 500g,834.62,6,0,UPI,9.0,Delivered,4.0,5007.72,False
ORD-00108,2024-07-03,CUST-1101,Premium,West,Fashion,Denim Jeans,939.19,4,0,Wallet,9.0,Delayed,5.0,3756.76,False
ORD-00109,2024-06-11,CUST-1150,New,South,Grocery,Olive Oil 1L,1005.67,1,0,COD,2.0,Cancelled,5.0,1005.67,False
ORD-00110,2024-06-04,CUST-1216,New,East,Grocery,Organic Rice 5kg,1014.53,5,0,UPI,3.0,Cancelled,3.0,5072.65,False
ORD-00111,2024-09-30,CUST-1230,Premium,East,Sports,Cricket Bat,763.13,3,15,Wallet,2.0,Delivered,,1945.98,True
ORD-00112,2024-10-22,CUST-1074,Premium,East,Grocery,Organic Rice 5kg,189.35,6,25,COD,5.0,Delivered,4.0,852.08,False
ORD-00113,2024-01-31,CUST-1081,Premium,East,Grocery,Olive Oil 1L,427.18,1,20,COD,3.0,Delivered,5.0,341.74,False
ORD-00114,2024-05-03,CUST-1157,Regular,South,Grocery,Almonds 500g,666.48,1,5,UPI,8.0,Delayed,2.0,633.16,False
ORD-00115,2024-09-20,CUST-1061,New,Central,Sports,Cricket Bat,1002.39,2,10,Net Banking,8.0,Delivered,5.0,1804.3,False
ORD-00116,2024-08-28,CUST-1103,Regular,North,Electronics,Bluetooth Speaker,3373.45,6,20,COD,5.0,Delivered,,16192.56,True
ORD-00117,2024-02-07,CUST-1032,New,West,Sports,Cycling Gloves,1020.22,5,5,Net Banking,7.0,Delayed,,4846.04,True
ORD-00118,2024-09-17,CUST-1038,Premium,Central,Sports,Cricket Bat,3093.37,2,15,UPI,7.0,Delayed,,5258.73,True
ORD-00119,2024-06-02,CUST-1004,Regular,East,Sports,Cricket Bat,901.26,5,20,Credit Card,10.0,Delayed,5.0,3605.04,False
ORD-00120,2024-12-18,CUST-1013,Premium,West,Sports,Cricket Bat,3247.99,6,25,UPI,1.0,Cancelled,5.0,14615.95,False
ORD-00121,2024-12-14,CUST-1105,Premium,South,Books,Biography,730.95,4,0,COD,4.0,Cancelled,1.0,2923.8,False
ORD-00122,2024-02-01,CUST-1044,Regular,Central,Grocery,Protein Bar Pack,1112.57,6,20,Net Banking,3.0,Cancelled,,5340.34,True
ORD-00123,2024-05-22,CUST-1180,Regular,East,Home & Kitchen,LED Lamp,2232.75,2,0,COD,9.0,Delayed,4.0,4465.5,False
ORD-00124,2024-10-05,CUST-1182,New,East,Sports,Cricket Bat,1364.82,5,20,COD,7.0,Cancelled,5.0,5459.28,False
ORD-00125,2024-10-14,CUST-1057,Premium,South,Home & Kitchen,Storage Box,945.46,5,5,Credit Card,5.0,Delivered,3.0,4490.94,False
ORD-00126,2024-03-11,CUST-1166,New,East,Beauty,Shampoo,1333.64,1,20,Net Banking,1.0,Delayed,,1066.91,True
ORD-00127,2024-10-20,CUST-1214,New,North,Books,Fiction Novel,830.95,1,20,COD,5.0,Delayed,,664.76,True
ORD-00128,2024-10-17,CUST-1227,New,Central,Fashion,Running Shoes,2667.21,1,5,COD,10.0,Delayed,2.0,2533.85,False
ORD-00129,2024-11-27,CUST-1156,Premium,West,Fashion,Cotton T-Shirt,1192.85,6,10,COD,5.0,Cancelled,3.0,6441.39,False
ORD-00130,2024-03-12,CUST-1084,Regular,Central,Home & Kitchen,Non-stick Pan,1552.71,1,0,Wallet,8.0,Delivered,5.0,1552.71,False
ORD-00131,2024-03-01,CUST-1176,New,East,Home & Kitchen,LED Lamp,2501.5,1,20,Net Banking,8.0,Cancelled,4.0,2001.2,False
ORD-00132,2024-08-20,CUST-1055,New,Central,Fashion,Denim Jeans,2884.87,4,0,Credit Card,10.0,Cancelled,5.0,11539.48,False
ORD-00133,2024-02-27,CUST-1113,New,South,Beauty,Perfume,1311.21,1,15,Wallet,1.0,Delayed,,1114.53,True
ORD-00134,2024-03-08,CUST-1101,Regular,North,Electronics,Smartwatch,3116.51,1,10,UPI,9.0,Cancelled,5.0,2804.86,False
ORD-00135,2024-10-04,CUST-1164,Premium,West,Electronics,Wireless Earbuds,3003.23,6,0,Net Banking,1.0,Delayed,2.0,18019.38,False
ORD-00136,2024-10-03,CUST-1213,New,North,Beauty,Sunscreen,769.82,6,20,Net Banking,3.0,Delayed,5.0,3695.14,False
ORD-00137,2024-04-27,CUST-1207,Premium,West,Books,Biography,468.1,4,25,Wallet,4.0,Delivered,5.0,1404.3,False
ORD-00138,2024-08-16,CUST-1198,New,South,Fashion,Denim Jeans,481.69,5,0,Wallet,10.0,Delayed,1.0,2408.45,False
ORD-00139,2024-12-10,CUST-1015,Premium,Central,Fashion,Jacket,1161.04,5,25,UPI,6.0,Cancelled,4.0,4353.9,False
ORD-00140,2024-11-25,CUST-1121,New,South,Books,Comic Book,566.89,1,5,Net Banking,7.0,Cancelled,,538.55,True
ORD-00141,2024-08-01,CUST-1216,Regular,North,Fashion,Handbag,2769.8,5,10,Wallet,9.0,Cancelled,,12464.1,True
ORD-00142,2024-11-05,CUST-1122,New,East,Grocery,Green Tea Pack,156.69,4,20,Net Banking,10.0,Delivered,1.0,501.41,False
ORD-00143,2024-09-02,CUST-1166,Regular,East,Fashion,Denim Jeans,2897.61,1,20,Net Banking,4.0,Delayed,4.0,2318.09,False
ORD-00144,2024-06-12,CUST-1141,Premium,Central,Sports,Football,2024.22,6,10,COD,4.0,Delayed,5.0,10930.79,False
ORD-00145,2024-05-05,CUST-1164,Premium,West,Fashion,Denim Jeans,1190.64,4,15,COD,8.0,Delivered,,4048.18,True
ORD-00146,2024-09-07,CUST-1209,Premium,North,Books,Cookbook,276.95,6,15,Credit Card,3.0,Delayed,,1412.44,True
ORD-00147,2024-04-21,CUST-1124,New,North,Fashion,Denim Jeans,483.51,2,0,Wallet,9.0,Cancelled,5.0,967.02,False
ORD-00148,2024-10-01,CUST-1235,New,Central,Beauty,Face Serum,177.6,6,5,UPI,5.0,Delivered,1.0,1012.32,False
ORD-00149,2024-07-22,CUST-1211,New,North,Fashion,Jacket,1721.43,3,5,Credit Card,2.0,Delayed,5.0,4906.08,False
ORD-00150,2024-01-05,CUST-1024,Premium,North,Beauty,Sunscreen,1061.96,1,20,UPI,3.0,Delivered,2.0,849.57,False
ORD-00151,2024-12-16,CUST-1150,New,West,Grocery,Protein Bar Pack,623.05,1,0,Credit Card,5.0,Delayed,,623.05,True
ORD-00152,2024-10-03,CUST-1249,Regular,North,Fashion,Jacket,949.27,4,20,Credit Card,6.0,Delayed,5.0,3037.66,False
ORD-00153,2024-07-22,CUST-1096,Regular,South,Fashion,Cotton T-Shirt,1219.6,5,15,Wallet,6.0,Cancelled,1.0,5183.3,False
ORD-00154,2024-05-06,CUST-1092,New,North,Beauty,Face Serum,1424.08,3,25,Credit Card,2.0,Delayed,2.0,3204.18,False
ORD-00155,2024-02-14,CUST-1023,Premium,Central,Beauty,Shampoo,1406.22,1,0,Net Banking,3.0,Delayed,5.0,1406.22,False
ORD-00156,2024-10-13,CUST-1016,New,West,Electronics,Bluetooth Speaker,2951.81,1,20,Net Banking,4.0,Delayed,,2361.45,True
ORD-00157,2024-05-06,CUST-1097,Regular,West,Home & Kitchen,Storage Box,2793.67,3,5,Net Banking,4.5,Delayed,4.0,7961.96,False
ORD-00158,2024-12-21,CUST-1125,Premium,South,Grocery,Protein Bar Pack,249.74,3,15,Net Banking,4.0,Delayed,5.0,636.84,False
ORD-00159,2024-10-30,CUST-1112,Regular,North,Home & Kitchen,Storage Box,1436.3,5,0,COD,9.0,Cancelled,3.0,7181.5,False
ORD-00160,2024-12-03,CUST-1129,Premium,West,Beauty,Lipstick,1195.0,2,5,Wallet,3.0,Delivered,5.0,2270.5,False
ORD-00161,2024-11-22,CUST-1165,Premium,West,Grocery,Almonds 500g,871.8,5,15,Net Banking,2.0,Delayed,2.0,3705.15,False
ORD-00162,2024-09-22,CUST-1088,New,West,Electronics,Wireless Earbuds,1312.75,2,15,Credit Card,9.0,Delayed,4.0,2231.67,False
ORD-00163,2024-06-27,CUST-1178,Regular,East,Beauty,Face Serum,341.51,6,0,Credit Card,5.0,Delayed,5.0,2049.06,False
ORD-00164,2024-02-25,CUST-1204,Regular,South,Electronics,Wireless Earbuds,917.44,3,20,UPI,3.0,Cancelled,4.0,2201.86,False
ORD-00165,2024-04-11,CUST-1016,Premium,North,Books,Comic Book,446.69,6,15,Wallet,8.0,Delivered,5.0,2278.12,False
ORD-00166,2024-12-09,CUST-1090,Regular,Central,Home & Kitchen,LED Lamp,890.49,1,5,UPI,8.0,Cancelled,,845.97,True
ORD-00167,2024-12-10,CUST-1107,Premium,South,Books,Cookbook,839.01,5,0,Wallet,3.0,Delayed,5.0,4195.05,False
ORD-00168,2024-11-26,CUST-1221,Regular,North,Beauty,Lipstick,953.01,5,20,COD,3.0,Delivered,,3812.04,True
ORD-00169,2024-09-10,CUST-1194,New,East,Fashion,Handbag,2902.34,5,20,Credit Card,7.0,Delayed,5.0,11609.36,False
ORD-00170,2024-09-10,CUST-1210,New,West,Fashion,Jacket,1079.41,4,15,Wallet,9.0,Delivered,,3669.99,True
ORD-00171,2024-05-06,CUST-1198,New,South,Beauty,Face Serum,1364.38,6,25,Wallet,5.0,Cancelled,1.0,6139.71,False
ORD-00172,2024-03-12,CUST-1250,Premium,East,Home & Kitchen,Cushion Cover,2306.5,2,15,Net Banking,4.0,Cancelled,4.0,3921.05,False
ORD-00173,2024-02-18,CUST-1063,New,East,Home & Kitchen,Cushion Cover,3452.84,6,25,UPI,3.0,Cancelled,5.0,15537.78,False
ORD-00174,2024-11-17,CUST-1071,Premium,East,Beauty,Sunscreen,384.58,6,5,COD,7.0,Delayed,5.0,2192.11,False
ORD-00175,2024-08-22,CUST-1082,Regular,East,Home & Kitchen,Cushion Cover,258.04,6,0,Wallet,6.0,Cancelled,2.0,1548.24,False
ORD-00176,2024-01-25,CUST-1116,New,West,Fashion,Jacket,2601.54,3,20,UPI,6.0,Cancelled,2.0,6243.7,False
ORD-00177,2024-12-01,CUST-1185,Premium,South,Fashion,Running Shoes,729.24,3,0,COD,6.0,Cancelled,4.0,2187.72,False
ORD-00178,2024-03-08,CUST-1220,Regular,South,Electronics,Wireless Earbuds,805.65,4,0,COD,5.0,Delivered,4.0,3222.6,False
ORD-00179,2024-06-09,CUST-1036,New,Central,Fashion,Handbag,541.19,1,0,Wallet,6.0,Delivered,4.0,541.19,False
ORD-00180,2024-11-17,CUST-1031,Premium,West,Sports,Dumbbell Set,1928.37,6,0,Net Banking,3.0,Delayed,5.0,11570.22,False
ORD-00181,2024-05-07,CUST-1132,Premium,Central,Home & Kitchen,Blender,1055.31,6,0,UPI,9.0,Cancelled,4.0,6331.86,False
ORD-00182,2024-07-16,CUST-1239,Regular,South,Beauty,Shampoo,1216.18,2,10,COD,2.0,Cancelled,4.0,2189.12,False
ORD-00183,2024-08-29,CUST-1101,Premium,East,Beauty,Shampoo,1051.49,1,25,Wallet,2.0,Delayed,1.0,788.62,False
ORD-00184,2024-11-11,CUST-1083,Regular,Central,Beauty,Sunscreen,286.01,5,15,Credit Card,3.0,Delayed,4.0,1215.54,False
ORD-00185,2024-05-05,CUST-1044,New,North,Books,Comic Book,697.47,2,0,UPI,2.0,Cancelled,5.0,1394.94,False
ORD-00186,2024-09-21,CUST-1230,New,East,Electronics,Smartphone Case,3381.35,3,15,COD,5.0,Delayed,3.0,8622.44,False
ORD-00187,2024-02-09,CUST-1197,New,Central,Sports,Yoga Mat,1272.91,5,20,Credit Card,8.0,Delivered,5.0,5091.64,False
ORD-00188,2024-01-24,CUST-1233,Premium,West,Books,Biography,151.93,1,0,UPI,8.0,Delayed,5.0,151.93,False
ORD-00189,2024-02-09,CUST-1011,Regular,North,Fashion,Handbag,2772.81,3,5,COD,10.0,Delayed,5.0,7902.51,False
ORD-00190,2024-01-05,CUST-1248,Regular,South,Grocery,Almonds 500g,460.03,5,10,Wallet,6.0,Delivered,4.0,2070.13,False
ORD-00191,2024-10-04,CUST-1026,New,Central,Fashion,Cotton T-Shirt,2817.47,1,0,UPI,6.0,Delayed,1.0,2817.47,False
